datum,uur,voorstelling,gezelschap,link,zaal,stad,type,tickets,status
2026-11-19,,Skin In The Game,fABULEUS,https://www.fabuleus.be/skin-in-the-game,OPEK (Grote Zaal),Leuven,school,,ok
2026-11-19,20u,Skin In The Game,fABULEUS,https://www.fabuleus.be/skin-in-the-game,OPEK (Grote Zaal),Leuven,tickets,https://www.30cc.be/nl/programma/item/skin-in-the-game-2026-2027,ok
2026-11-20,,Skin In The Game,fABULEUS,https://www.fabuleus.be/skin-in-the-game,OPEK (Grote Zaal),Leuven,school,,ok
2026-11-20,20u,Skin In The Game,fABULEUS,https://www.fabuleus.be/skin-in-the-game,OPEK (Grote Zaal),Leuven,tickets,https://www.30cc.be/nl/programma/item/skin-in-the-game-2026-2027,ok
2026-11-23,,DEBUREN,Hirngespinst,https://hirngespinst.be/wanneer-herstel/,CLUB,Mortsel,school,,ok
2026-11-24,2x,DEBUREN,Hirngespinst,https://hirngespinst.be/wanneer-herstel/,CLUB,Mortsel,school,,ok
2026-11-26,,PRIJSBEEST,Meurman & de Rudy,https://www.meurmanenderudy.com/general-9,Ins Blau,Leiden (NL),tickets,https://www.visitleiden.nl/nl/agenda/174342931/prijsbeest-home-is-where-the-hurt-is,ok
2026-12-01,2x,DEBUREN,Hirngespinst,https://hirngespinst.be/wanneer-herstel/,BRONKS,Brussel,school,,ok
2026-12-02,,PRIJSBEEST,Meurman & de Rudy,https://www.meurmanenderudy.com/general-9,De Nieuwe Vorst,Tilburg (NL),tickets,https://denieuwevorst.nl/programma/prijsbeest,ok
2026-12-07,2x,DEBUREN,Hirngespinst,https://hirngespinst.be/wanneer-herstel/,cc Ter Vesten,Beveren,school,,ok
2026-12-08,2x,DEBUREN,Hirngespinst,https://hirngespinst.be/wanneer-herstel/,cc Ter Vesten,Beveren,school,,ok
2026-12-09,2x,DEBUREN,Hirngespinst,https://hirngespinst.be/wanneer-herstel/,cc Ter Vesten,Beveren,school,,ok
2026-12-10,,PRIJSBEEST,Meurman & de Rudy,https://www.meurmanenderudy.com/general-9,Oude Badhuis,Antwerpen,tickets,https://www.meurmanenderudy.com/kalender,ok
2026-12-17,2x,DEBUREN,Hirngespinst,https://hirngespinst.be/wanneer-herstel/,Schoolpodium West,Brussel,school,,ok
2026-12-18,2x,DEBUREN,Hirngespinst,https://hirngespinst.be/wanneer-herstel/,Schoolpodium West,Brussel,school,,ok
2027-01-04,,WIER,Laika,https://www.laika.be/NL/wier,cc Schoten,Schoten,school,,ok
2027-01-05,,WIER,Laika,https://www.laika.be/NL/wier,cc Schoten,Schoten,school,,ok
2027-01-06,,WIER,Laika,https://www.laika.be/NL/wier,cc Schoten,Schoten,school,,ok
2027-01-07,,WIER,Laika,https://www.laika.be/NL/wier,cc Schoten,Schoten,school,,ok
2027-01-08,10:00 en 13:30,WIER,Laika,https://www.laika.be/NL/wier,CC Schoten,Schoten,school,,ok
2027-01-12,2x,DEBUREN,Hirngespinst,https://hirngespinst.be/wanneer-herstel/,Schouwburg Kortrijk,Kortrijk,school,,ok
2027-01-14,10:00 en 13:30,WIER,Laika,https://www.laika.be/NL/wier,CC MUZE,Heusden-Zolder,school,,ok
2027-01-15,10:00 en 13:30,WIER,Laika,https://www.laika.be/NL/wier,CC MUZE,Heusden-Zolder,school,,ok
2027-01-18,10:00 en 13:30,WIER,Laika,https://www.laika.be/NL/wier,De Studio,Antwerpen,school,,ok
2027-01-19,10:00 en 13:30,WIER,Laika,https://www.laika.be/NL/wier,De Studio,Antwerpen,school,,ok
2027-01-21,10:00 en 13:30,WIER,Laika,https://www.laika.be/NL/wier,De Studio,Antwerpen,school,,ok
2027-01-22,10:00 en 13:30,WIER,Laika,https://www.laika.be/NL/wier,De Studio,Antwerpen,school,,ok
2027-01-25,10:00 en 14:00,WIER,Laika,https://www.laika.be/NL/wier,Cultuurcentrum Sint-Niklaas,Sint-Niklaas,school,,ok
2027-01-26,10:00 en 14:00,WIER,Laika,https://www.laika.be/NL/wier,Cultuurcentrum Sint-Niklaas,Sint-Niklaas,school,,ok
2027-01-28,10:00 en 14:00,WIER,Laika,https://www.laika.be/NL/wier,Cultuurcentrum Sint-Niklaas,Sint-Niklaas,school,,ok
2027-01-29,10:00 en 14:00,WIER,Laika,https://www.laika.be/NL/wier,Cultuurcentrum Sint-Niklaas,Sint-Niklaas,school,,ok
2027-02-01,10:30 en 13:45,WIER,Laika,https://www.laika.be/NL/wier,Stadhuis,Mortsel,school,,ok
2027-02-02,10:30 en 13:45,WIER,Laika,https://www.laika.be/NL/wier,Stadhuis,Mortsel,school,,ok
2027-02-04,10:00 en 13:30,WIER,Laika,https://www.laika.be/NL/wier,GC Essegem,Jette,school,,ok
2027-02-22,,WIER,Laika,https://www.laika.be/NL/wier,30CC,Leuven,tickets,,ok
2027-02-23,,WIER,Laika,https://www.laika.be/NL/wier,30CC,Leuven,tickets,,ok
2027-03-03,,WIER,Laika,https://www.laika.be/NL/wier,cc CasinoKoksijde,Koksijde,school,,ok
2027-03-04,,WIER,Laika,https://www.laika.be/NL/wier,cc CasinoKoksijde,Koksijde,school,,ok
2027-03-05,,WIER,Laika,https://www.laika.be/NL/wier,cc CasinoKoksijde,Koksijde,school,,ok
2027-03-06,,PRIJSBEEST,Meurman & de Rudy,https://www.meurmanenderudy.com/general-9,CC Brasschaat,Brasschaat,tickets,https://www.meurmanenderudy.com/kalender,ok
2027-03-08,,WIER,Laika,https://www.laika.be/NL/wier,cc Ter Vesten,Beveren,school,,ok
2027-03-09,,WIER,Laika,https://www.laika.be/NL/wier,cc Ter Vesten,Beveren,school,,ok
2027-03-11,,WIER,Laika,https://www.laika.be/NL/wier,GC Elzenhof,Elsene,school,,ok
2027-03-12,,WIER,Laika,https://www.laika.be/NL/wier,GC Den Dam,Oudergem,school,,ok
2027-03-18,13u45,Bobbety,FroeFroe / Céline Timmerman,https://www.celinetimmerman.com/bobbety,cc Mortsel,Mortsel,school,,ok
2027-03-19,13u45,Bobbety,FroeFroe / Céline Timmerman,https://www.celinetimmerman.com/bobbety,cc Mortsel,Mortsel,school,,ok
2027-03-19,19u,Bobbety,FroeFroe / Céline Timmerman,https://www.celinetimmerman.com/bobbety,cc Mortsel,Mortsel,tickets,https://www.celinetimmerman.com/bobbety,ok
2027-03-20,,Bobbety,FroeFroe / Céline Timmerman,https://www.celinetimmerman.com/bobbety,"cc Het Gasthuis, Boze Wolf festival",Aarschot,tickets,,ok
2027-03-23,2x,DEBUREN,Hirngespinst,https://hirngespinst.be/wanneer-herstel/,cc De Steiger,Menen,school,,ok
2027-03-24,,DEBUREN,Hirngespinst,https://hirngespinst.be/wanneer-herstel/,cc De Steiger,Menen,school,,ok
2027-03-25,13u30,Bobbety,FroeFroe / Céline Timmerman,https://www.celinetimmerman.com/bobbety,GC de Lijsterbes,Kraainem,school,,ok
2027-04-18,,DEBUREN,Hirngespinst,https://hirngespinst.be/wanneer-herstel/,Theatergarage,Borgerhout,tickets,https://www.theatergarage.be/het-programma/familievoorstelling-deburen-de-wereld-repareren,ok
2027-04-19,2x,DEBUREN,Hirngespinst,https://hirngespinst.be/wanneer-herstel/,Theatergarage,Borgerhout,school,,ok
2027-04-26,13u30,Bobbety,FroeFroe / Céline Timmerman,https://www.celinetimmerman.com/bobbety,cc Casino,Houthalen-Helchteren,school,,ok
2027-04-27,2x,Bobbety,FroeFroe / Céline Timmerman,https://www.celinetimmerman.com/bobbety,cc Casino,Houthalen-Helchteren,school,,ok
2027-04-29,2x,DEBUREN,Hirngespinst,https://hirngespinst.be/wanneer-herstel/,30CC,Leuven,school,,ok
2027-05-10,2x,DEBUREN,Hirngespinst,https://hirngespinst.be/wanneer-herstel/,cc Schoten,Schoten,school,,ok
2027-05-11,2x,DEBUREN,Hirngespinst,https://hirngespinst.be/wanneer-herstel/,cc Schoten,Schoten,school,,ok
2027-05-12,,DEBUREN,Hirngespinst,https://hirngespinst.be/wanneer-herstel/,cc Schoten,Schoten,school,,ok
2027-05-13,2x,DEBUREN,Hirngespinst,https://hirngespinst.be/wanneer-herstel/,cc Schoten,Schoten,school,,ok
2027-05-14,2x,DEBUREN,Hirngespinst,https://hirngespinst.be/wanneer-herstel/,cc Schoten,Schoten,school,,ok
2027-05-15,,PRIJSBEEST,Meurman & de Rudy,https://www.meurmanenderudy.com/general-9,Arenbergschouwburg,Antwerpen,tickets,https://www.arenbergschouwburg.be/nl/programma/prijsbeest-home-is-where-the-hurt-is/a0NP500000CisQnMAJ,ok
2027-07-01,"juli, exacte data volgen",PRIJSBEEST,Meurman & de Rudy,https://www.meurmanenderudy.com/general-9,MoMent Festival,Tongeren,tickets,https://www.meurmanenderudy.com/kalender,check
2027-11-18,,PRIJSBEEST,Meurman & de Rudy,https://www.meurmanenderudy.com/general-9,Casino,Houthalen-Helchteren,tickets,https://www.meurmanenderudy.com/kalender,ok
